اسد,Asad
كورين,Corinne
كارولين,Carolyn
كريستيان,Christian
كوري,Cory
كيري,Carrie
كريستي,Christie
كورتني,Courtney
كيسي,Casey
كريستينا,Christina
كريك,Craig
كاساندرا,Cassandra
كريستين,Christine
كريستينا,Cristina
كيسي,Cassie
كريستوفر,Christopher
كريسطال,Crystal
كاثرين,Catherine
كريستي,Christy
كورتيس,Curtis
كاثلين,Cathleen
سيندي,Cindy
سينثيا,Cynthia
كاثي,Cathy
كلير,Claire
سيسيليا,Cecelia
كلارا,Clara
سيسيل ,Cecil
كلارونس,Clarence
ديزي,Daisy
ديانا,Deanna
دايان,Dianne
ديل,Dale
ديبي,Debbie
دينا,Dina
دان,Dan
ديبرا,Debora
ديكسي,Dixie
دانا,Dana
ديبرا,Deborah
دولي,Dolly
دانييل,Daniel
ديبرا,Debra
دولوريس,Dolores
دانييل,Danielle
دي,Dee
دومينيك,Dominique
داني,Danny
ديليا,Delia
دون,Don
دافني,Daphne
ديلا,Della
دونالد,Donald
دارلا,Darla
ديلوريس,Delores
دونا ,Donna
دارلين,Darlene
ديلوريس,Deloris
دورا,Dora
ديريل,Darrell
دينا,Dena
دورين,Doreen
دارين,Darren
دينيس,Denise
دوريس,Doris
ديريل,Darryl
دينيس,Dennis
دورثي,Dorothea
ديريل,Daryl
ديريك,Derek
دورثي,Dorothy
ديف,Dave
ديريك,Derrick
دورثي,Dorthy
ديفيد,David
ديزيري,Desiree
دوغلاس,Douglas
دون,Dawn
دايانا,Diana
دوان,Duane
دين,Dean
دايان ,Diane
داستين,Dustin
ديانا,Deana
دايانا,Dianna
دوين,Dwayne
دوايت,Dwight
اورل,Earl
إيلين,Ellen
اسبيرانسا,Esperanza
إيبوني,Ebony
إلما,Elma
إيسي,Essie
إيدي,Eddie
إلمير,Elmer
إيسطيلا,Estella
يدكار,Edgar
إلويز,Eloise
إيسطيل,Estelle
إيديث,Edith
إلسا,Elsa
ايستير,Ester
إيدنا,Edna
السي,Elsie
ايسثير,Esther
إيدواردو,Eduardo
إلفا,Elva
إيثيل,Ethel
إدوارد,Edward
الفيرا,Elvira
إيطا,Etta
إدوين,Edwin
إميلي,Emily
اوجين,Eugene
إيفي,Effie
إيما,Emma
اوجينيا,Eugenia
إيلين,Eileen
إنريكي,Enrique
اولا,Eula
إلين,Elaine
إيريك,Eric
اونيس,Eunice
إيلينور,Eleanor
إيريكا,Erica
إيفا,Eva
إلينا,Elena
ايريك,Erik
ايفيلين,Evelyn
إليسا,Elisa
ايريكا,Erika
ايفيريت,Everett
إليزابيث,Elisabeth
إيرين,Erin
إليسا,Elise
إيرما,Erma
إليزابيث,Elizabeth
ايرنست,Ernest
إلا,Ella
إرنيستين,Ernestine
فيث,Faith
فيرناندو,Fernando
فرانكي,Frankie
فيني,Fannie
فلورا,Flora
فرانكلين,Franklin
فاروق,Farrukh
فلورانس,Florence
فريد,Fred
فاطمة,Fatima
فلويد,Floyd
فريدا,Freda
فاطمة,Fatima
فرانسيس,Frances
فريدي,Freddie
فاي,Fay
فرانسين,Francine
فريديريك,Frederick
فاي,Faye
فرانسيس,Francis
فريدا,Frieda
فيليسيا,Felicia
فرانسيسكا,Francisca
فيليكس,Felix
فرانسيسكو,Francisco
فيرن,Fern
فرانك,Frank
غابرييل,Gabriel
حبيب,Habib
اين,Ian
غابرييلا,Gabriela
حافظ,Hafeez
إبراهيم,Ibrahim
غابرييل,Gabrielle
حليم,Halim
إيدا,Ida
كايل,Gail
حامد,Hamid
إفتخار,Ifrikhar
كايل,Gale
حنيف,Hanif
إفتقار,Ifthikar
غيري,Gary
هانا حنا,Hannah
ايموجين,Imogene
كايل,Gayle
حق,Haq
اينا,Ina
جين,Gene
هارولد,Harold
إيناس,Inez
جينيفا,Geneva
هارييت,Harriet
إينكريد,Ingrid
جورج,George
هاري,Harry
إقبال,Iqbal
جورجيا,Georgia
هارفي,Harvey
ايرين,Irene
جيرالد,Gerald
إريس,Iris
جيرالدين,Geraldine
هاشم,Hashim
إيرما,Irma
غطار,Ghatar
هاتي,Hattie
ايزاك,Isaac
غلام,Ghulam
هيزيل,Hazel
إيزابيل,Isabel
كيلبيرت,Gilbert
هيثير,Heather
إيزابيل,Isabelle
جينا,Gina
هيكتور,Hector
إسماعيل,Ismael
جينجر,Ginger
هايدي,Heidi
عصمة,Ismat
كلاديس,Gladys
هيلين,Helen
إيفا,Iva
كلين,Glen
هيلينا,Helena
ايفان,Ivan
كليندا,Glenda
هيلين,Helene
ايفي,Ivy
كلين,Glenn
هينري,Henry
كلينا,Glenna
هيربيرت,Herbert
كلوريا,Gloria
هيرمان,Herman
كلودي,Goldie
هيلدا,Hilda
غوردون,Gordon
هولي,Holly
كريس,Grace
هوب ,Hope
كريسي,Gracie
هاوارد,Howard
كريك,Greg
حسين,Hussain
غريغوري,Gregory
غريتشن,Gretchen
غوادالوبي,Guadalupe
غلاب,Gulab
كوين,Gwen
جاك,Jack
جينين,Jeannine
جول,Joel
جاكي,Jackie
جيف,Jeff
جوهانا,Johanna
جاكلين,Jaclyn
جيفري,Jeffery
جون,John
جاكوب,Jacob
جيفري,Jeffrey
جوني,Johnnie
جاكلين,Jacqueline
جينيفر,Jenifer
جوني,Johnny
جاكلين,Jacquelyn
جينا,Jenna
جولين,Jolene
جعفر,Jafar
جيني,Jennie
جون,Jon
جيمي,Jaime
جينيفر,Jennifer
جوناثان,Jonathan
جميلة,Jameelah
جيني,Jenny
جوني,Joni
جميلار,Jameelar
جيريمي,Jeremy
جوردان,Jordan
جيمس,James
جيروم,Jerome
خورخي,Jorge
جيمي,Jamie
جيري,Jerry
خوسي,Jose
جان,Jan
جيسي,Jesse
جوزيفينا,Josefina
جانا,Jana
جيسيكا,Jessica
جوزيف ,Joseph
جين,Jane
جيسي,Jessie
جوزيفين,Josephine
جانيل,Janelle
جيسي,Jessie
جاشوا,Joshua
جانيط,Janet
جيسوس,Jesus
جوزي,Josie
جانيط,Janette
جول,Jewel
جوي,Joy
جانيس,Janice
جول,Jewell
جويس,Joyce
جيني,Janie
جيل,Jill
خوان,Juan
جينين,Janine
جيليان,Jillian
خوانا,Juana
جانيس,Janis
جيم,Jim
خوانيطا,Juanita
جارود,Jared
جيمي,Jimmie
جوديث,Judith
جاسمين,Jasmine
جيمي,Jimmy
جودي,Judy
جيسون,Jason
جو,Jo
جوليا,Julia
جافيير,Javier
جوان,Joan
جوليان,Julian
جي,Jay
جوان,Joann
جولي,Julie
جين,Jayne
جوانا,Joanna
خوليو,Julio
جين,Jean
جوان,Joanne
جون,June
جينيط,Jeanette
جوسلين,Jocelyn
جاستين,Justin
جينين,Jeanine
جودي,Jodi
جوستين,Justine
جين,Jeanne
جودي,Jodie
جينيط,Jeannette
جودي,Jody
جيني,Jeannie
جو,Joe
كارا,Kara
ليسي,Lacey
لوريطا,Loretta
كيرين,Karen
لادونا,Ladonna
لوري,Lori
كاري,Kari
لانا ,Lana
لوري,Lorie
كيرين,Karin
لانس,Lance
لورنا,Lorna
كارل,Karl
لارا,Lara
لورين,Lorraine
كارلا,Karla
ليري,Larry
لوتي,Lottie
كايت,Kate
لاطاشا,Latasha
لو,Lou
كاثارين,Katharine
لطيف,Latif
لويس,Louis
كاثلين,Kathleen
لاطونيا,Latonya
لويز,Louise
كاثرين,Kathryn
لاطويا,Latoya
لوردس,Lourdes
كاثي,Kathy
لورا,Laura
لوسيا,Lucia
كاتي,Katie
لوريل,Laurel
لوسيل,Lucile
كاترينا,Katrina
لورين,Lauren
لوسيل,Lucille
كي ,Kay
لوري,Laurie
لوسيندا,Lucinda
كايلا,Kayla
لورنس,Lawrence
لوسي,Lucy
كيشا,Keisha
ليا,Lea
لويلا,Luella
كيث,Keith
لياه,Leah
لويس,Luis
كيلي,Kelley
ليان,Leanne
لولا,Lula
كيلي,Kelli
لي,Lee
لوبي,Lupe
كيلي,Kellie
لي,Lee
لوس,Luz
كيلي,Kelly
ليلى,Lela
ليديا,Lydia
كيلي,Kelly
لينا,Lena
ليندا,Lynda
كيلسي,Kelsey
لينورا,Lenora
لينيت,Lynette
كين,Ken
ليو,Leo
لين,Lynn
كيندا,Kendra
ليولا,Leola
لين,Lynne
كينيث,Kenneth
ليون,Leon
كينت,Kent
ليونا,Leona
كيري,Keri
ليونارد,Leonard
كيري,Kerri
ليروي,Leroy
كيري,Kerry
ليسلي,Lesley
كيفين,Kevin
ليسلي,Leslie
خالد,Khalid
ليسلي,Leslie
خالق,Khaliq
ليستير,Lester
كيم,Kim
ليتيشيا,Leticia
كيمبرلي,Kimberley
ليويس,Lewis
كيمبرلي,Kimberly
ليلى,Lila
كيرك,Kirk
ليليان,Lillian
كيرستين,Kirsten
ليلي,Lillie
كريستا,Krista
ليلي,Lily
كريستين,Kristen
ليندا,Linda
كريستي,Kristi
لينزي,Lindsay
كريستي,Kristie
لينزي,Lindsey
كريستن,Kristin
ليسا,Lisa
كريستينا,Kristina
ليزي,Lizzie
كريستين,Kristine
لويد,Lloyd
كريستي,Kristy
لولا,Lola
كريستال,Krystal
لوني,Lonnie
كلثوم,Kulsum
لورا,Lora
كورت,Kurt
لورينا,Lorena
كايل,Kyle
لورين,Lorene
ميبيل,Mabel
مارجوري,Marjorie
ميشيل,Micheal
ميبل,Mable
مارك,Mark
ميشيل,Michele
مادلين,Madeline
مارلا,Marla
ميشيل,Michelle
ماي,Mae
مارلين,Marlene
ميغيل,Miguel
ماكي,Maggie
مارشال,Marshall
مايك,Mike
محود,Mahoud
مارطا,Marta
ميلدريد,Mildred
مالك,Malik
مارثا,Martha
ميلي,Millie
مامي,Mamie
مارتين,Martin
ميلطون,Milton
ماندي,Mandy
مارتينا,Martina
ميندي,Mindy
مانويل,Manuel
مارفين,Marvin
ميني,Minnie
مانويلا,Manuela
ميري,Mary
مير,Mir
مارك,Marc
ميريان,Maryann
مراج,Miraj
مارسيلا,Marcella
ماسور,Massur
ميراندا,Miranda
مارسيا,Marcia
مسعود,Masud
ميريام,Miriam
ماركوس,Marcus
ماثيو,Mathew
ميستي,Misty
ميرسي,Marcy
ماثيو,Matthew
ميتشل,Mitchell
مارغاريت,Margaret
ماتي,Mattie
محمد,Mohammad
مارغاريطا,Margarita
مود,Maude
محمد,Mohammed
مارجي,Margie
مورين,Maureen
مولي,Mollie
مارغو,Margo
موريس,Maurice
مولي,Molly
مارغريت,Margret
ميفيس,Mavis
منى,Mona
ماريا,Maria
ماكس,Max
مونيكا,Monica
ماريان,Marian
مايرا,Mayra
مونيك,Monique
ماريان,Marianne
ميغان,Megan
مورغان,Morgan
ماريبيل,Maribel
ميغان,Meghan
موريس,Morris
ميري,Marie
ميلاني,Melanie
مبشر,Mubashir
مارلين,Marilyn
ميلبا,Melba
مختار,Mukhtar
مارينا,Marina
ميليندا,Melinda
موريل,Muriel
ماريو,Mario
ميليسا,Melissa
مزمل,Muzzamil
ماريون,Marion
ميلودي,Melody
مايرا,Myra
ماريسا,Marisa
ميلفين,Melvin
ميرنا,Myrna
ماريسول,Marisol
ميرسيديس,Mercedes
ميرتل,Myrtle
ماريسا,Marissa
ميريديث,Meredith
نادين,Nadine
ناديه,Nadya
Nadya,نادية
Nada,ندي
Nada,ندى
نريمان,Nariman
اولى,Ola
بيدج,Paige
نجمة,Najma
اولغا,Olga
بام,Pam
نانسي,Nancy
اوليف,Olive
باميلا,Pamela
ناومي,Naomi
اوليفيا,Olivia
بافين,Parveen
نسيم,Naseema
اولي,Ollie
بات,Pat
نصرة,Nasrat
اوبال,Opal
باتريسا,Patrica
نسرين,Nasreen
اورا,Ora
باتريس,Patrice
ناطالي,Natalie
اوسكار,Oscar
باتريسيا,Patricia
ناطاشا,Natasha
باتريك,Patrick
نيثان,Nathan
باتسي,Patsy
نيل,Neil
باتي,Patti
نيل,Nell
باتي,Patty
نيلي,Nellie
بول,Paul
نيلسون,Nelson
باولا,Paula
نيتي,Nettie
بوليط,Paulette
نيكولاس,Nicholas
بولين,Pauline
نيكول ,Nichole
بيرل,Pearl
نيكول,Nicole
بيدرو,Pedro
نيكي,Nikki
بيغي,Peggy
نينا,Nina
بيني,Penny
بيري,Perry
نورما,Norma
بيتر,Peter
نورمان,Norman
بيترا,Petra
فيليب,Philip
فيليب,Phillip
فيليس,Phyllis
بولي,Polly
بريسيلا,Priscilla
رابعة,Rabia
صبيرة,Sabera
تابثة,Tabitha
راكيل,Rachael
صابرينا,Sabrina
طمارا,Tamara
ريتشل,Rachel
صدقة,Sadaqat
تامي,Tami
راشيل,Rachelle
سادي,Sadie
تاميكا,Tamika
رفاييل,Rafael
صادق,Sadiq
تامي,Tammie
رفيق,Rafiq
سليم,Salim
تامي,Tammy
رحمان,Rahman
سالي,Sallie
طانيا,Tanya
رالف,Ralph
سالي,Sally
طارا,Tara
رامون,Ramon
سلمى,Salma
طاشا,Tasha
رامونا,Ramona
سالفادور,Salvador
تيد,Ted
رندال,Randall
سام,Sam
تيريسا,Teresa
راندي,Randy
سامنثا,Samantha
تيري,Teri
راكيل,Raquel
سمسور,Samsur
تيري,Terri
رشيد,Rashid
صامويل,Samuel
تيري,Terry
راول,Raul
ساندرا,Sandra
تيري,Terry
ري,Ray
ساندي,Sandy
ثيلما,Thelma
ريموند,Raymond
سارة,Sara
ثيودور,Theodore
رضوانة,Razwana
سارة,Sarah
ثيريسا,Theresa
ريبا,Reba
سكوط,Scott
ثيريس ,Therese
ريبيكا,Rebecca
شان,Sean
ثوماس,Thomas
ريجينا,Regina
سلمى,Selma
تيفاني,Tiffany
ريجينالد,Reginald
سيجيو,Sergio
تيم,Tim
رينا,Rena
سيث,Seth
تيموثي,Timothy
ريني,Rene
شايف,Shaif
تينا,Tina
ريني,Renee
شانا,Shana
تود,Todd
روندا,Rhonda
شانون,Shannon
طوم,Tom
ريكاردو,Ricardo
شاري,Shari
تومي,Tommy
ريتشارد,Richard
شارون,Sharon
توني,Toni
ريك  ,Rick
شونا,Shauna
تونيا,Tonia
ريكي,Ricky
شون,Shawn
توني,Tony
ريتا,Rita
شينا,Sheena
تونيا,Tonya
روبي,Robbie
شيلا,Sheila
تريسي,Tracey
روبيرت,Robert
شيلبي,Shelby
تريسي,Traci
روبيرطا,Roberta
شيليا,Shelia
تريسي,Tracie
روبيرطو,Roberto
شيلي,Shelley
تريسي,Tracy
روبين,Robin
شيلي,Shelly
تريفيس,Travis
روبين,Robyn
شيري,Sheri
تريسيا,Tricia
روشيل,Rochelle
شيري,Sherri
ترينا,Trina
رودني,Rodney
شيري,Sherrie
تريشا,Trisha
روجير,Roger
شيري,Sherry
تروي,Troy
رولاند,Roland
شيريل,Sheryl
ترودي,Trudy
رون ,Ron
شيرلي,Shirley
تايلور,Tyler
رونالد,Ronald
سيدني,Sidney
تايرون,Tyrone
روندا,Ronda
سيلفيا,Silvia
روني,Ronnie
سوندرا,Sondra
روسا,Rosa
صونيا,Sonia
روسالي,Rosalie
صونيا,Sonja
روساريو,Rosario
صونيا,Sonya
روز,Rose
صوفيا,Sophia
روزماري,Rosemarie
صوفي,Sophie
روزميري,Rosemary
ستيسي,Stacey
روزيطا,Rosetta
ستيسي,Staci
روزي,Rosie
ستيسي,Stacie
روس,Ross
ستيسي,Stacy
روكسان,Roxanne
ستانلي,Stanley
روي,Roy
ستيفاني,Stefanie
روبن,Ruben
ستيلا,Stella
روبي,Ruby
ستيفاني,Stephanie
راسل,Russell
ستيفن,Stephen
روث,Ruth
ستيف,Steve
ريان,Ryan
ستيف,Steven
سو ,Sue
صغرى,Sughra
سليمان,Sulaiman
سلطان,Sultan
ثريا,Surriya
سوزان,Susan
سوزانا,Susana
سوزان,Susanne
سوزي,Susie
سوزان,Suzanne
سبيل,Sybil
سيلفيا,Sylvia
عمر,Umar
عصمان,Usman
وايد,Wade
يعقوب,Yaqub
ولاس,Wallace
يولاندا,Yolanda
فاليري,Valerie
والتير,Walter
يوسف,Yousaf
فانيسا,Vanessa
واندي,Wanda
يوسف,Yousif
فيلما,Velma
وارين,Warren
يوسف,Youssef
فيرا,Vera
واين,Wayne
يوسف,Yusuf
فيرنا,Verna
ويندي,Wendy
إيفيت,Yvette
فيرنون,Vernon
ويسلي,Wesley
إيفون,Yvonne
فيرونيكا,Veronica
ويتني,Whitney
فيكي,Vicki
ويلا,Willa
زاكاري,Zachary
فيكي,Vickie
ويلارد,Willard
زاهد,Zahid
فيكي,Vicky
زينب,Zayneb
فيكتور,Victor
ويليا,Willie
زبيدة,Zubaida
فيكتوريا,Victoria
ويلما,Wilma
فينسنت,Vincent
وينيفريد,Winifred
فيولا,Viola
ويني,Winnie
فايوليت,Violet
فيرجيل,Virgil
فيرجينيا,Virginia
فيفيان,Vivian
ابانوب,Abanob
ابرار,Abrari
ادم,Adam
اديب,Adeeb
اديبة,Adeeba
ادهم,Adham
افاق,Afaq
افنان,Afnan
افراح,Afrah
احلام,Ahlam
احمد,Ahmed
اجنادين,Ajnadeen
اجود,Ajwad
اكرم,Akram
اكثم,Aktham
الاء,Alaa
البَراء,Albaraa
البشير,Albashir
البِرت,Albert
الحان,Alhan
الحَسن,Alhassan
الحُسَين,Alhussain
اليس,Alice
اليف,Alif
الما,Alma
المَنصور,Almansour
المظ,Almaz
المُعتز بالله,Almoataz
الشيّماء,Alshaymaa
الوَليد,Alwaleed
امل,Amal
امال,Amal
امانة,Amana
اماني,Amani
امنة,Amena
امين,Amin
امينة,Amina
امير,Amir
اميرة,Amira
امجد,Amjad
Aseer,اسير
إنعام,Anaam
اَنَس,Anas
اندرية,Andrea
اندرو,Andro
اندراوس,Andrwas
انفال,Anfal
انجيلا,Angela
انغام,Angham
انهار,Anhar
انيس,Anis
انيسة,Anisa
انطوني,Antoni
انطوان,Antwan
انوار,Anwar
انور,Anwr
اريج,Areej
ارغد,Arghad
ارسلان,Arslan
اروى,Arwa
اريام,Aryam
اصالة,Asala
اسِيف,Aseef
اسيل,Aseel
اسر,Aser
اشجان,Ashgan
اشهب,Ashhab
اشرف,Ashraf
اشرقت,Ashraqt
اسية,Asia
ايسِل,Asil
اسينات,Asinate
اسماء,Asmaa
اسمهان,Asmahan
اسمر,Asmar
اسرى,Asra
اسرار,Asrar
اوّاب,Awab
اوس,Aws
اية,Aya
ايات,Ayat
ايمن,Ayman
ايوب,Ayoub
ايتن,Ayten
ازهار,Azhar
ازميرالدا,Azmiralda
باديس,Badis
بَدر,Badr
بهاء,Bahaa
باهر,Baher
بهي,Bahi
بهية,Bahia
بهيّ,Bahie
بهيجة,Bahija
بهجة,Bahja
براء,Baraa
بارين,Barin
باسل,Basel
باسِمة,Basema
بشام,Basham
باسيل,Basil
باسِم,Bassem
بَتول,Batol
بَتّال,Battal
بدير,Bedir
بجاد,Begad
بروين,Berwin
بيشوي,Beshoy
بيبرس,Beybars
بهار,Bhar
بيلار,Bilar
بوح,Bouh
بيداء,Bydaa
إدريس,Edris
إدوارد,Edward
إجلال,Eglal
إحسان,Ehsan
إخلاص,Ekhlas
إيلين,Elaine
إلهام,Elham
إلهامي,Elhami
إليسا,Elisa
إليزابيث,Elisabeth
إلياس,Elyas
إمام,Emam
إيميلي,Emily
إمتنان,Emtenan
إنجي,Engie
إنصاف,Ensaf
انتصار,Entesar
إقبال,Eqbal
إيريني,Ereny
إسحاق,Eshaq
إسراء,Esraa
استفانوس,Estefanos
إيف,Eve
ايفلين,Eveline
إيفون,Evon
إفرونيا,Evronia
هُديّن,Hudein
إبراهيم,Ibrahim
ابرام,Ibram
ابتسام,Ibtesam
إبتهال,Ibtihal
إيهاب,Ihab
إكرام,Ikram
إيلاف,Ilaf
إيمان,Iman
إيناس,Inas
إيريس,Iris
ارتواء,Irtewaa
إيزابيل,Isabelle
اسكندر,Iskandar
إسلام,Islam
إسماعيل,Ismaeel
اعتماد,Itemad
إيثار,Ithar
إياد,Iyad
إياس,Iyas
نيللي,Nilly
نيكولا,Nicola
نورسين,Noorseen
اوكتافيا,Octavia
الفة,Olfa
اولجا  - اولغا,Olga
اوليفيا,Olivia
ام كُلثوم,Om Kolthoum
اُميمة,Omaima
امامة,Omama
امنية,Omnia
اورهان,Orhan
اُسامة,Osama
برديس,Pardis
باريس,Paris
باتريك,Patrik
بيتر,Peter
بولا,Pola
بولس,Poles
وضّاء,Wadaa
وسيم,Wassim
يوكابد,Yokabed
يونان,Yonan
اغنيس,Agnes
اليس,Alice
اليسيا,Alicia
اليسون,Allison
الما,Alma
اماندا,Amanda
امبر,Amber
ايمي,Amy
انا,Ana
اندريا,Andrea
انجلا,Angela
انيتا,Anita
ان,Ann
انا,Anna
ان,Anne
انيت,Annette
اني,Annie
ابريل,April
ارلين,Arlene
اشلي,Ashley
اودري,Audrey
باربرا,Barbara
بياتريس,Beatrice
باكي,Becky
برنيس,Bernice
بيرثا,Bertha
باسي,Bessie
بيث,Beth
باتي,Betty
بافيرلي,Beverly
بيلي,Billie
بابي,Bobbie
بوني,Bonnie
براندي,Brandy
بريندا,Brenda
بريتاني,Brittany
كارلا,Carla
كارمن,Carmen
كارول,Carol
كارول,Carole
كارولين,Caroline
كارولين,Carolyn
كاري,Carrie
كاساندرا,Cassandra
كاثرين,Catherine
كاثي,Cathy
شارلين,Charlene
شارلوت,Charlotte
شارل,Cheryl
كريستينا,Christina
كريستين,Christine
كرستي,Christy
سيندي,Cindy
كلاير,Claire
كلارا,Clara
كلاوديا,Claudia
كولين,Colleen
كوني,Connie
كونستانس,Constance
كورتني,Courtney
كريستل,Crystal
سينثيا,Cynthia
دايسي,Daisy
دانا,Dana
دانييل,Danielle
دارلين,Darlene
دون,Dawn
ديانا,Deanna
ديبي,Debbie
ديبرا,Deborah
ديبرا,Debra
دولورس,Delores
دينيس,Denise
ديانا,Diana
ديان,Diane
ديان,Dianne
دولورس,Dolores
دونا,Donna
دورا,Dora
دوريس,Doris
دورثي,Dorothy
إيديث,Edith
إدنا,Edna
ايلين,Eileen
إيلاين,Elaine
إلينور,Eleanor
اليزابيث,Elizabeth
الا,Ella
الين,Ellen
إليس,Elsie
إميلي,Emily
إما,Emma
اريكا,Erica
اريكا,Erika
ارين,Erin
استر,Esther
اثل,Ethel
إيفا,Eva
افيلين,Evelyn
فيليسيا,Felicia
فلورنس,Florence
فرانسس,Frances
غايل,Gail
جورجيا,Georgia
جيرالدين,Geraldine
غيرترود,Gertrude
جينا,Gina
غلاديس,Gladys
غليندا,Glenda
غلوريا,Gloria
غرايس,Grace
غويندولين,Gwendolyn
هايزل,Hazel
هاذر,Heather
هايدي,Heidi
هيلين,Helen
هيلدا,Hilda
هولي,Holly
ايدا,Ida
ايرين,Irene
ارما,Irma
جاكي,Jackie
جاكيلن,Jacqueline
جايمي,Jamie
جاين,Jane
جانيت,Janet
جانيس,Janice
جين,Jean
جانيت,Jeanette
جين,Jeanne
جيني,Jennie
جينيفر,Jennifer
جيني,Jenny
جيسيكا,Jessica
جيسي,Jessie
جيل,Jill
جو,Jo
جون,Joan
جوان,Joann
جوان,Joanne
جوسيفين,Josephine
جوي,Joy
جويس,Joyce
جانيتا,Juanita
جودث,Judith
جودي,Judy
جوليا,Julia
جوليا,Julie
جون,June
كارين,Karen
كاثرين,Katherine
كاثلين,Kathleen
كاثرين,Kathryn
كاثي,Kathy
كايتي,Katie
كاترينا,Katrina
كاي,Kay
كيلي,Kelly
كيم,Kim
كيمبرلي,Kimberly
كريستن,Kristen
كريستن,Kristin
كريستينا,Kristina
لارا,Laura
لارن,Lauren
لوري,Laurie
ليا,Leah
لينا,Lena
ليونا,Leona
ليسلي,Leslie
ليليان,Lillian
ليلي,Lillie
ليندا,Linda
ليسا,Lisa
لويس,Lois
لوريتا,Loretta
لوري,Lori
لوراين,Lorraine
لويز,Louise
لوسيل,Lucille
لوسي,Lucy
ليندا,Lydia
لين,Lynn
مايبل,Mabel
ماي,Mae
مارسيا,Marcia
مارغاريت,Margaret
مارغي,Margie
ماريا,Maria
ماريان,Marian
ماري,Marie
ماريلين,Marilyn
ماريون,Marion
مارجوري,Marjorie
مارلين,Marlene
مارشا,Marsha
مارثا,Martha
ماري,Mary
ماتي,Mattie
مورين,Maureen
ماكسين,Maxine
ميغان,Megan
ميلاني,Melanie
ميليندا,Melinda
ميليسا,Melissa
ميشيل,Michele
ميشيل,Michelle
ميلدريد,Mildred
ميني,Minnie
ميريام,Miriam
ميستي,Misty
مونيكا,Monica
ميرتيل,Myrtle
نانسي,Nancy
نايومي,Naomi
ناتالي,Natalie
نيلي,Nellie
نيكول,Nicole
نينا,Nina
نورا,Nora
نورما,Norma
اولغا,Olga
باميلا,Pamela
باتريسيا,Patricia
باتسي,Patsy
بولا,Paula
بولين,Pauline
بيرل,Pearl
بيغي,Peggy
بيني,Penny
فيليس,Phyllis
بريسيلا,Priscilla
رايتشيل,Rachel
رامونا,Ramona
ريبيكا,Rebecca
ريجينا,Regina
ريناي,Renee
روندا,Rhonda
ريتا,Rita
روبيرتا,Roberta
روبين,Robin
روزا,Rosa
روز,Rose
روزماري,Rosemary
روبي,Ruby
روث,Ruth
سالي,Sally
سامانثا,Samantha
ساندرا,Sandra
سارا,Sara
سارا,Sarah
شانون,Shannon
شارون,Sharon
شيلا,Sheila
شيلي,Shelly
شيري,Sherri
شيري,Sherry
شيرلي,Shirley
سونيا,Sonia
ستايسي,Stacey
ستايسي,Stacy
ستيلا,Stella
ستيفاني,Stephanie
سو,Sue
سوزن,Susan
سوزان,Suzanne
سيلفيا,Sylvia
تامارا,Tamara
تامي,Tammy
تانيا,Tanya
تارا,Tara
تيريسا,Teresa
تيري,Terri
تيري,Terry
ثيلما,Thelma
تيريسا,Theresa
تيفاني,Tiffany
تينا,Tina
توني,Toni
تونيا,Tonya
ترايسي,Tracey
ترايسي,Tracy
فاليري,Valerie
فانيسا,Vanessa
فيلما,Velma
فيرا,Vera
فيرونيكا,Veronica
فيكي,Vicki
فيكي,Vickie
فيكتوريا,Victoria
فيولا,Viola
فيوليت,Violet
فرجينيا,Virginia
فيفيان,Vivian
واندا,Wanda
ويندي,Wendy
ويلي,Willie
ويلما,Wilma
يولاندا,Yolanda
إيفون,Yvonne
ارون,Aaron
ادم,Adam
ايدريان,Adrian
الن,Alan
البرت,Albert
البيرتو,Alberto
الكس,Alex
الكسندر,Alexander
الفريد,Alfred
الفريدو,Alfredo
الن,Allan
الن,Allen
الفن,Alvin
اندري,Andre
اندرو,Andrew
اندي,Andy
انجل,Angel
انثوني,Anthony
انتونيو,Antonio
ارماندو,Armando
ارنولد,Arnold
ارثور,Arthur
باري,Barry
بِن,Ben
بنجامين,Benjamin
برنارد,Bernard
بيل,Bill
بيلي,Billy
بوب,Bob
بوبي,Bobby
براد,Brad
برادلي,Bradley
براندون,Brandon
برينت,Brent
بريت,Brett
براين,Brian
بروس,Bruce
براين,Bryan
بايرون,Byron
كالفين,Calvin
كارل,Carl
كارلوس,Carlos
كايسي,Casey
سيسل,Cecil
تشاد,Chad
تشارلز,Charles
تشارلي,Charlie
تشيستر,Chester
كريس,Chris
كريستيان,Christian
كريستوفر,Christopher
كلارِنس,Clarence
كلود,Claude
كلايتون,Clayton
كليفرد,Clifford
كليفتون,Clifton
كلينتون,Clinton
كلايد,Clyde
كودي,Cody
كوري,Corey
كوري,Cory
كرايغ,Craig
كورتِس,Curtis
دايل,Dale
دان,Dan
دانيل,Daniel
داني,Danny
داريل,Darrell
دارِن,Darren
داريل,Darryl
داريل,Daryl
دايف,Dave
دافيد,David
دين,Dean
,Dennis
دارك,Derek
دارك,Derrick
دون,Don
دونالد,Donald
دوغلِس,Douglas
دواين,Duane
دوستِن,Dustin
دواين,Dwayne
دوايت,Dwight
إرل,Earl
إدي,Eddie
إدغار,Edgar
إدواردو,Eduardo
إدوارد,Edward
إدوين,Edwin
إلمر,Elmer
إنريكَي,Enrique
إريك,Eric
إريك,Erik
